"File Name","Field_EGNO","EGNO","EGLetter","Local_Time","Day","Month","Year","Latitude","Longitude","Area","Obs","Platform","Image_Type","Assoc_Type","Behaviors","Notes","Photographer","Intermatch_Code","Name","Permit_No","CCS_No","NonEg"
"100_0966.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0967.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0968.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0969.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0970.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0971.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0972.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0973.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0974.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0975.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0976.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0977.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0978.JPG","2021CALFOF3593","","B","1241","21","12","2022","41.83864","-70.35161","CCB","CCS/A","A","DS","5","MOPN","MOUTH OPEN UNPHOTOGRAPHED","ACJ","2021CALFOF3593","","25740-01","975",""
"100_0980.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
"100_0981.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
"100_0982.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
"100_0983.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
"100_0984.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
"100_0985.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
"100_0986.JPG","4150","","C","1246","21","12","2022","41.83004","-70.36493","CCB","CCS/A","A","DS","4","","WITH ANIMAL D","ACJ","","ACCORDION","25740-01","975",""
